"CNT","Year","GDP","life.expectancy"
"Afghanistan","X1800",634.4000136,28.211
"Afghanistan","X1801",634.4000136,28.20075333
"Afghanistan","X1802",634.4000136,28.19050667
"Afghanistan","X1803",634.4000136,28.18026
"Afghanistan","X1804",634.4000136,28.17001333
"Afghanistan","X1805",634.4000136,28.15976667
"Afghanistan","X1806",634.4000136,28.14952
"Afghanistan","X1807",634.4000136,28.13927333
"Afghanistan","X1808",634.4000136,28.12902667
"Afghanistan","X1809",634.4000136,28.11878
"Afghanistan","X1810",634.4000136,28.10853333
"Afghanistan","X1811",634.4000136,28.09828667
"Afghanistan","X1812",634.4000136,28.08804
"Afghanistan","X1813",634.4000136,28.07779333
"Afghanistan","X1814",634.4000136,28.06754667
"Afghanistan","X1815",634.4000136,28.0573
"Afghanistan","X1816",634.4000136,28.04705333
"Afghanistan","X1817",634.4000136,28.03680667
"Afghanistan","X1818",634.4000136,28.02656
"Afghanistan","X1819",634.4000136,28.01631333
"Afghanistan","X1820",634.4000136,28.00606667
"Afghanistan","X1821",636.4623568,27.99582
"Afghanistan","X1822",638.5314043,27.98557333
"Afghanistan","X1823",640.607178,27.97532667
"Afghanistan","X1824",642.6896998,27.96508
"Afghanistan","X1825",644.7789915,27.95483333
"Afghanistan","X1826",646.8750752,27.94458667
"Afghanistan","X1827",648.977973,27.93434
"Afghanistan","X1828",651.087707,27.92409333
"Afghanistan","X1829",653.2042994,27.91384667
"Afghanistan","X1830",655.3277726,27.9036
"Afghanistan","X1831",657.4581489,27.89335333
"Afghanistan","X1832",659.5954507,27.88310667
"Afghanistan","X1833",661.7397006,27.87286
"Afghanistan","X1834",663.8909212,27.86261333
"Afghanistan","X1835",666.049135,27.85236667
"Afghanistan","X1836",668.2143649,27.84212
"Afghanistan","X1837",670.3866336,27.83187333
"Afghanistan","X1838",672.5659641,27.82162667
"Afghanistan","X1839",674.7523793,27.81138
"Afghanistan","X1840",676.9459022,27.80113333
"Afghanistan","X1841",679.1465559,27.79088667
"Afghanistan","X1842",681.3543636,27.78064
"Afghanistan","X1843",683.5693486,27.77039333
"Afghanistan","X1844",685.7915342,27.76014667
"Afghanistan","X1845",688.0209437,27.7499
"Afghanistan","X1846",690.2576008,27.73965333
"Afghanistan","X1847",692.501529,27.72940667
"Afghanistan","X1848",694.7527518,27.71916
"Afghanistan","X1849",697.011293,27.70891333
"Afghanistan","X1850",699.2771764,27.69866667
"Afghanistan","X1851",701.5504259,27.68842
"Afghanistan","X1852",703.8310653,27.67817333
"Afghanistan","X1853",706.1191189,27.66792667
"Afghanistan","X1854",708.4146105,27.65768
"Afghanistan","X1855",710.7175644,27.64743333
"Afghanistan","X1856",713.028005,27.63718667
"Afghanistan","X1857",715.3459564,27.62694
"Afghanistan","X1858",717.6714432,27.61669333
"Afghanistan","X1859",720.0044898,27.60644667
"Afghanistan","X1860",722.3451207,27.5962
"Afghanistan","X1861",724.6933608,27.58595333
