GDP per capita,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,
Afghanistan,1321.945588,1323.495832,1552.033398,1632.338112,1695.153436,1885.356711,1906.651322
Akrotiri and Dhekelia,,,,,,,
Albania,8528.395747,9111.710122,9377.045354,9656.957169,9897.179958,10122.60617,10296.34371
Algeria,12289.02726,12314.34698,12285.12888,12494.06704,12605.77155,12751.71608,12956.59857
American Samoa,,,,,,,
Andorra,43441.87,41425.99,41734.59,38981.93,41958.04,41925.91,43734.64
Angola,6341.613866,7012.631643,6980.112713,7021.577476,7094.084302,7244.828725,7319.345043
Anguilla,,,,,,,
Antigua and Barbuda,25392.81186,25488.83112,22519.10993,20598.58436,19987.92414,20546.34504,20642.51044
Argentina,13873.39737,14645.60287,14605.16407,15765.07167,16971.66869,17100.90915,17628.58635
Armenia,7161.244137,7640.549946,6494.474907,6571.630321,6812.351956,7283.8018,7501.129225
Aruba,40558.41564,38594.39833,35572.51369,33287.9038,36016.48376,35419.08223,36083.40849
Australia,40455.39975,40748.2208,40682.8783,41269.25766,41705.99745,42448.23629,42943.25741
Austria,43875.86345,44316.00098,42504.61344,43248.59727,44239.86432,44388.4822,44446.494
Azerbaijan,13018.27344,14237.29126,15356.54265,15937.87092,15754.15236,15878.86041,16667.04226
Bahamas,25225.13987,24351.83604,22904.84701,22692.36451,22807.30171,22968.64894,23140.8805
Bahrain,57547.36018,51687.17515,43329.16525,42712.93913,40083.48798,40633.56817,41778.35788
Bangladesh,2124.844021,2227.9172,2334.679137,2456.289893,2588.500451,2714.596615,2841.445222
Barbados,16001.69911,16022.19438,15328.88412,15326.53806,15374.21349,15337.30049,15191.95829
Belarus,12872.30532,14454.01998,14498.99288,15652.63563,16603.38953,16919.41212,17073.49068
Belgium,41629.86421,41715.50906,40232.1977,40876.0514,40997.45719,40593.95538,40451.38075
Belize,8074.579928,8186.67991,8061.256579,8158.038585,8178.016964,8367.808573,8356.007246
Benin,1610.372538,1641.924201,1637.400396,1632.112477,1643.310118,1685.239529,1733.67741
Bermuda,58543.5991,58948.53941,55989.14825,54797.15575,54984.51039,54160.25463,53516.07741
Bhutan,5472.120191,5623.250055,5898.143768,6475.43203,6909.268833,7307.808013,7654.52162
Bolivia,4916.446333,5114.583695,5183.082795,5294.039176,5461.752632,5637.366377,5908.4476
Bosnia and Herzegovina,8785.831347,9289.310936,9034.521107,9116.523657,9248.094595,9151.157931,9275.607035
Botswana,13354.06279,13589.4792,12792.40768,13529.2105,14050.70459,14466.33374,14859.84576
Brazil,12795.39928,13334.52045,13173.4029,14042.32122,14300.74066,14332.19564,14529.00045
British Virgin Islands,,,,,,,
Brunei,75642.52683,73187.50684,70930.81678,71513.19059,71991.08498,71505.36964,69551.63373
Bulgaria,14277.77167,15228.80208,14476.34264,14647.14769,15278.43848,15463.38456,15690.75374
Burkina Faso,1320.851283,1356.707262,1355.901359,1419.748529,1435.359364,1516.975812,1591.001683
Burundi,684.1413388,701.8336025,709.1564216,718.7542927,731.3298642,742.8869731,757.9168436
Cambodia,2300.015597,2413.788279,2376.199263,2496.088939,2646.335556,2811.18391,2978.60991
Cameroon,2552.191069,2572.727694,2549.414507,2569.821017,2609.897514,2662.83395,2718.650413
Canada,41634.19308,41606.30059,39949.47504,40728.72409,41332.53006,41556.20733,41903.9372
Cape Verde,5389.386043,5643.575579,5772.830474,5989.717838,6205.662396,6218.974423,6175.483859
Cayman Islands,57505.79622,56607.63675,51746.12555,49598.2301,49686.31436,49297.49915,49344.84365
Central African Rep.,917.8202527,918.3072944,900.8742081,905.6787826,912.7540289,932.0137685,584.5845617
Chad,1834.694062,1819.515141,1753.80803,1933.199029,1896.032948,2014.091329,2036.312314
Channel Islands,,,,,,,
Chile,18300.54473,18674.70819,18330.0576,19201.40283,20154.42262,21064.46795,21761.83896
China,8225.493482,8363.484685,8945.61761,9555.926137,10040.62987,10755.5897,11523.45412
