"CNT","med.math","med.read"
"Albania",397.4217,404.7049
"United Arab Emirates",426.2424,440.2106
"Argentina",394.6954,408.1718
"Australia",491.7511,505.2071
"Austria",508.1087,496.3857
"Belgium",523.9212,521.1508
"Bulgaria",439.1728,451.0037
"Brazil",375.7673,398.7088
"Canada",508.9656,515.1141
"Switzerland",521.9738,500.6361
"Chile",440.4191,462.4513
"Colombia",381.3756,415.6664
"Costa Rica",402.2511,441.14775
"Czech Republic",521.9738,516.4344
"Germany",515.976,514.7503
"Denmark",487.0774,488.1075
"Spain",498.372,500.2351
"Estonia",520.416,519.8799
"Finland",510.0561,518.609
"France",501.9551,518.8402
"United Kingdom",489.4921,500.9568
"Greece",453.7389,486.2806
"Hong Kong-China",568.8659,553.9253
"Croatia",467.5261,488.1968
"Hungary",482.36485,501.96395
"Indonesia",371.75575,399.7008
"Ireland",502.5783,525.9471
"Iceland",494.04895,490.1727
"Israel",470.1745,499.7839
"Italy",492.6079,502.8013
"Jordan",381.2198,404.1555
"Japan",539.2662,545.0595
"Kazakhstan",428.1119,395.6498
"Korea",557.6492,543.4709
"Liechtenstein",543.083,522.048
"Lithuania",479.2881,482.9292
"Luxembourg",492.4521,491.7613
"Latvia",494.98365,501.6848
"Macao-China",541.5252,513.2077
"Mexico",416.3499,430.65255
"Montenegro",402.0953,419.7968
"Malaysia",418.5309,403.6723
"Netherlands",520.8833,512.419
"Norway",490.1153,509.9787
"New Zealand",499.4625,518.76
"Peru",363.9274,384.6089
"Poland",516.7549,523.6132
"Portugal",484.70165,489.3784
"Qatar",365.6411,386.9521
"China-Shanghai",619.8863,573.6547
"Perm(Russian Federation)",486.2985,495.7329
"Florida (USA)",461.762,492.2958
"Connecticut (USA)",501.2541,522.0246
"Massachusetts (USA)",507.3298,522.8499
"Romania",439.8738,438.622
"Russian Federation",481.3133,476.7489
"Singapore",574.63,542.9149
"Serbia",442.09375,445.8964
"Slovak Republic",485.40275,477.6218
"Slovenia",480.8459,464.5485
"Sweden",478.587,492.10725
"Chinese Taipei",564.8933,530.7892
"Thailand",430.87705,452.2788
"Tunisia",383.7124,409.2325
"Turkey",438.74435,474.46935
"Uruguay",408.4826,416.1912
"United States of America",476.8733,500.4987
"Vietnam",508.3424,510.1099
